species_id,species_group,species_code,species_name,species_sensitive,species_np,species_type,species_size_min,species_size_max,species_unit,species_category,species_data_quality,species_population,species_conservation,species_isolation,species_global,site_code,year,id_reporte,species_id_type,species_id_unit
14079,B,A193,Sterna hirundo,,,c,,,,P,DD,D,,,,ES0000515,2023,135,202,
11715,I,1044,Coenagrion mercuriale,,,p,5.0,5.0,grids1x1,,M,C,B,C,B,ES5232006,2023,135,201,22.0
11166,B,A850,Calonectris diomedea (sensu stricto [excluding borealis]),,,c,,,,C,DD,C,B,C,B,ES5310023,2023,135,202,
11219,B,A161,Tringa erythropus,,,w,,1.0,i,P,G,D,C,C,C,ES0000272,2023,135,63,36.0
11101,B,A126,Fulica cristata,,,r,,1.0,p,,G,B,B,C,B,ES0000470,2023,135,62,34.0
14057,B,A183,Larus fuscus,,,np,,,,P,,,,,,ES0000525,2023,135,203,
10887,B,A123,Gallinula chloropus,,,w,,,,R,DD,C,B,C,B,ES4240018,2023,135,63,
11340,B,A026,Egretta garzetta,,,r,25.0,30.0,p,,G,C,C,C,C,ES0000324,2023,135,62,34.0
12048,B,A084,Circus pygargus,,,r,,1.0,p,V,G,C,C,C,C,ES0000188,2023,135,62,34.0
12282,B,A480,Cyanecula svecica,,,w,,,,P,DD,D,,,,ES6110001,2023,135,63,
