ID_Ruta,CUADRICULA
560,30TXM62
571,30TXL35
571,30TXL25
572,30TXL43
572,30TXL44
572,30TXL34
572,30TXL35
574,30TXK39
574,30TXK29
574,30TXL20
596,30TXM33
596,30TXM34
596,30TXM24
597,30TXM52
597,30TXM53
597,30TXM43
597,30TXM33
598,30TXM52
598,30TXM62
630,30TXM43
631,30TXM62
632,30TXM52
636,30TXK76
636,30TXK66
636,30TXK67
636,30TXK57
636,30TXK47
636,30TXK48
636,30TXK49
638,30TYM08
638,30TXM98
647,31TBG73
648,31TBG73
666,31TBF53
666,31TBF63
666,31TBF73
666,31TBF54
666,30TYL54
666,31TBF44
666,30TYL44
697,31TBF53
697,31TBF52
697,31TBF62
698,31TBF53
698,31TBF54
699,31TBF53
699,31TBF54
700,31TBF53
700,31TBF54
701,31TBF66
701,31TBF76
701,31TBF77
702,31TBF54
703,31TBF55
703,31TBF65
703,31TBF56
703,31TBF66
704,31TBF66
726,31TBF54
734,31TBF54
734,31TBF55
734,31TBF65
735,31TBF55
755,31TBF68
755,31TBF78
756,30TYL56
756,30TYL46
756,30TYL57
756,31TBF47
756,31TBF57
757,31TBG57
758,31TBF57
758,31TBF67
758,31TBF58
758,31TBF68
762,31TBH52
763,31TBH52
764,31TBH51
764,31TBH52
764,30TYN42
764,30TYN32
765,30TYN32
765,30TYN33
766,31TBH62
767,30TYN41
767,30TYN42
767,30TYN32
768,31TBH52
768,31TBH62
768,31TBH53
769,31TBH62
769,31TBH72
770,31TBH51
770,31TBH61
771,31TBH62
772,30TYN42
773,30TYN43
773,30TYN33
774,31TBH52
774,30TYN42
775,31TBH51
776,31TBH62
777,31TBH61
777,31TBH62
778,31TBH52
779,31TBH53
780,30TYN42
780,30TYN32
781,31TBH51
781,31TBH52
781,31TBH62
782,30TYN42
782,30TYN43
783,31TBH52
784,31TBH51
785,31TBH52
786,30TYN41
786,31TBH51
787,31TBH52
787,30TYN42
788,31TBH61
788,31TBH52
788,31TBH62
789,30TYN41
789,31TBH51
789,31TBH52
790,30TYN32
791,30TYN41
791,30TYN42
792,31TBH61
792,31TBH62
793,31TBH53
794,31TBH52
794,31TBH62
795,31TBH52
795,31TBH62
795,31TBH53
796,31TBH62
797,30TYN42
798,31TBH61
799,31TBH51
799,31TBH52
800,31TBH52
800,31TBH62
801,31TBH52
802,31TBH61
803,30TYN42
804,31TBH62
804,31TBH63
805,30TYN42
805,30TYN43
806,31TBH62
807,30TYN41
807,31TBH52
807,30TYN42
808,31TBH51
809,31TBH51
809,31TBH61
810,30TYN42
811,31TBH52
811,30TYN42
811,30TYN43
812,31TBH62
813,31TBH51
814,31TBH52
814,30TYN42
815,31TBH51
815,31TBH52
815,31TBH62
816,31TBH52
816,31TBH62
817,31TBH61
817,31TBH62
1086,30TXK37
1086,30TXK27
1086,30TXK17
1141,30TXM71
